Order.q;Target;Estimate;s.e.;LCL;UCL;Community
0;Diversity;91.34020619;45.96575369;45.35363378;217.2760565;Acc. epiphytes on A. setosa
0.25;Diversity;66.91204313;29.96124547;36.26188382;146.6952732;Acc. epiphytes on A. setosa
0.5;Diversity;45.65362762;16.17595485;27.37070435;86.19920406;Acc. epiphytes on A. setosa
0.75;Diversity;30.02828605;7.40437157;19.50356062;47.26192597;Acc. epiphytes on A. setosa
1;Diversity;20.23974874;3.657689264;14.11489755;27.89084871;Acc. epiphytes on A. setosa
1.25;Diversity;14.62330083;2.423176262;10.08759556;19.80167053;Acc. epiphytes on A. setosa
1.5;Diversity;11.39725182;1.929531907;7.869899551;15.60601662;Acc. epiphytes on A. setosa
1.75;Diversity;9.439581228;1.660582855;6.477384876;13.09821072;Acc. epiphytes on A. setosa
2;Diversity;8.168421053;1.488999644;5.56316915;11.65477842;Acc. epiphytes on A. setosa
0;Entropy;90.34020619;50.82325413;40.56084242;234.6020795;Acc. epiphytes on A. setosa
0.25;Entropy;29.86037125;11.14794422;17.11615504;59.30209123;Acc. epiphytes on A. setosa
0.5;Entropy;11.51349365;2.576674079;8.098097308;17.50044367;Acc. epiphytes on A. setosa
0.75;Entropy;5.363595137;0.667026827;4.274903999;6.742717814;Acc. epiphytes on A. setosa
1;Entropy;3.00764843;0.218704407;2.616474811;3.446584865;Acc. epiphytes on A. setosa
1.25;Entropy;1.954503985;0.09851047;1.758942362;2.146499729;Acc. epiphytes on A. setosa
1.5;Entropy;1.407579711;0.055950358;1.298275922;1.515017942;Acc. epiphytes on A. setosa
1.75;Entropy;1.085748412;0.035705853;1.019615964;1.155575606;Acc. epiphytes on A. setosa
2;Entropy;0.87757732;0.02411134;0.831544244;0.92248604;Acc. epiphytes on A. setosa
0;Diversity;94.57546012;30.28516867;58.86302211;175.2457466;Acc. epiphytes on C. phalerata
0.25;Diversity;71.68127091;19.30692274;48.42682255;122.5841559;Acc. epiphytes on C. phalerata
0.5;Diversity;51.20314044;10.63330769;36.07494833;76.25760774;Acc. epiphytes on C. phalerata
0.75;Diversity;35.33654491;5.554001402;25.98985965;50.2036561;Acc. epiphytes on C. phalerata
1;Diversity;24.68912761;3.400231235;18.98129659;31.01670574;Acc. epiphytes on C. phalerata
