species;humidity;height;cbh;abundance;richness
C. phalerata;22.49;2.6;23.5;24;6
C. phalerata;9.78;1.2;16;5;4
C. phalerata;19.2;1.25;20.4;18;7
C. phalerata;38.03;1.64;24.3;5;3
C. phalerata;25.68;2.26;24.4;11;11
C. phalerata;23.56;2.8;26.5;6;4
C. phalerata;31.73;1.03;21;0;0
C. phalerata;27.92;1.17;31;20;3
C. phalerata;24.19;2.9;20.5;13;8
C. phalerata;27.06;1.21;28.5;9;7
C. phalerata;29.81;2.2;26;10;5
C. phalerata;32.52;4;25;15;8
C. phalerata;42.7;0.59;17;1;1
C. phalerata;32.55;3;25;28;11
C. phalerata;24.66;2;25;7;3
C. phalerata;33.5;2.1;23.5;1;1
C. phalerata;14.08;2.2;19.5;7;3
C. phalerata;12.57;1.39;28;2;2
C. phalerata;16.75;1.68;29;4;3
C. phalerata;34.94;3.5;28;2;2
C. phalerata;18.68;5.05;27;3;2
C. phalerata;15.85;2.03;24;31;10
C. phalerata;24.55;2.3;24;16;5
C. phalerata;29.73;3.6;36;10;6
C. phalerata;22.2;1.8;29;0;0
C. phalerata;33.57;1.36;27;4;4
C. phalerata;25.16;1.4;24;2;2
C. phalerata;21.96;3.4;27;4;3
C. phalerata;23.91;2.8;22.5;7;4
C. phalerata;8.2;2.6;28.5;3;2
C. phalerata;25.99;4.8;36;18;8
C. phalerata;28.12;4.8;32;31;10
C. phalerata;21.31;1.7;21.5;2;2
C. phalerata;19.93;2.5;30;3;1
C. phalerata;15.52;3.5;33;1;1
C. phalerata;8.27;2.54;26.5;4;2
A. setosa;31.9;1.42;18.5;9;6
A. setosa;18.64;1.57;22.3;14;8
A. setosa;14.78;1.24;23.5;5;3
A. setosa;19.76;2;22.5;4;4
A. setosa;29.48;1.4;26;6;3
A. setosa;26.35;1.7;20.5;8;1
A. setosa;17.06;1.4;30.5;1;1
A. setosa;16.69;1.3;35;0;0
A. setosa;31.56;2.3;24;9;6
A. setosa;31.27;1.5;25;4;2
A. setosa;25.32;1.6;14;9;2
A. setosa;22.83;2;26;11;4
A. setosa;24.42;1.7;27;1;1
A. setosa;29.1;2.4;23;10;7
A. setosa;35.21;3.8;25.5;9;5
A. setosa;23.51;3.1;20;4;2
A. setosa;41.39;4;25;13;7
A. setosa;40.63;3.9;25;17;5
A. setosa;35.67;2.6;21;3;2
A. setosa;33.4;3.1;29.5;3;2
A. setosa;38.98;2.6;27.5;5;3
A. setosa;18.88;2;26;1;1
A. setosa;20.58;2.05;24;10;3
A. setosa;19.69;1.5;18;2;1
A. setosa;22.44;1.44;19;24;4
A. setosa;27.72;1.83;24;3;3
A. setosa;22.84;3;25;13;4
A. setosa;7.32;1.07;28;0;0
A. setosa;30.15;3;29.5;9;7
A. setosa;35.62;0.95;26.5;1;1
A. setosa;15.13;1.23;30;0;0
A. setosa;29.43;1.12;26;3;3
A. setosa;34.16;2.7;24;4;4
A. setosa;35.97;1.76;19;2;1
A. setosa;41.19;1.85;33;2;2
A. setosa;29.5;2.3;15.5;5;1
A. setosa;39.53;4.82;29;10;5
A. setosa;18.96;3.07;24;4;2
