species;class;abun;int
Anthurium gaudichaudianum  ;Acc;1;A
Anthurium gaudichaudianum  ;Acc;0;B
Anthurium gaudichaudianum  ;Acc;0;C
Asplenium squamosum  ;Acc;0;A
Asplenium squamosum  ;Acc;0;B
Asplenium squamosum  ;Acc;1;C
Bambusoideae sp.  ;Acc;1;A
Bambusoideae sp.  ;Acc;0;B
Bambusoideae sp.  ;Acc;0;C
Bathysa australis  ;Acc;5;A
Bathysa australis  ;Acc;2;B
Bathysa australis  ;Acc;0;C
Begonia convolvulacea  ;Acc;1;A
Begonia convolvulacea  ;Acc;0;B
Begonia convolvulacea  ;Acc;2;C
Cestrum sp.  ;Acc;1;A
Cestrum sp.  ;Acc;0;B
Cestrum sp.  ;Acc;0;C
Chaetogastra sp.  ;Acc;1;A
Chaetogastra sp.  ;Acc;0;B
Chaetogastra sp.  ;Acc;0;C
Diplazium riedelianum  ;Acc;2;A
Diplazium riedelianum  ;Acc;0;B
Diplazium riedelianum  ;Acc;0;C
Dorstenia carautae  ;Acc;2;A
Dorstenia carautae  ;Acc;3;B
Dorstenia carautae  ;Acc;0;C
Eugenia sp1.  ;Acc;1;A
Eugenia sp1.  ;Acc;0;B
Eugenia sp1.  ;Acc;0;C
Eugenia sp2.  ;Acc;0;A
Eugenia sp2.  ;Acc;1;B
Eugenia sp2.  ;Acc;0;C
Hoffmannia peckii  ;Acc;0;A
Hoffmannia peckii  ;Acc;1;B
Hoffmannia peckii  ;Acc;0;C
Justicia sp.  ;Acc;0;A
Justicia sp.  ;Acc;1;B
Justicia sp.  ;Acc;1;C
Leandra cf. hirta  ;Acc;1;A
Leandra cf. hirta  ;Acc;0;B
Leandra cf. hirta  ;Acc;0;C
Leandra laevigata  ;Acc;1;A
Leandra laevigata  ;Acc;0;B
Leandra laevigata  ;Acc;0;C
Leandra sp1.  ;Acc;1;A
Leandra sp1.  ;Acc;0;B
Leandra sp1.  ;Acc;0;C
Leandra variabilis  ;Acc;15;A
Leandra variabilis  ;Acc;1;B
Leandra variabilis  ;Acc;0;C
Marcgravia polyantha  ;Acc;2;A
Marcgravia polyantha  ;Acc;1;B
Marcgravia polyantha  ;Acc;0;C
Ossaea amygdaloides  ;Acc;4;A
Ossaea amygdaloides  ;Acc;0;B
Ossaea amygdaloides  ;Acc;0;C
Ossaea sanguinea  ;Acc;1;A
Ossaea sanguinea  ;Acc;0;B
Ossaea sanguinea  ;Acc;0;C
Ossaea sp.  ;Acc;1;A
Ossaea sp.  ;Acc;1;B
Ossaea sp.  ;Acc;0;C
Parodiolyra micrantha  ;Acc;1;A
Parodiolyra micrantha  ;Acc;0;B
Parodiolyra micrantha  ;Acc;0;C
Piper malacophyllum  ;Acc;0;A
Piper malacophyllum  ;Acc;1;B
Piper malacophyllum  ;Acc;0;C
Piper sp3.  ;Acc;2;A
Piper sp3.  ;Acc;1;B
Piper sp3.  ;Acc;0;C
